"ip","Reachable","SSH Enabled","Telnet Enabled","username","password","secret","device_type"
"192.168.16.1","No","NA","NA","NA","NA","NA","NA"
"192.168.16.2","No","NA","NA","NA","NA","NA","NA"
"192.168.16.3","No","NA","NA","NA","NA","NA","NA"
"192.168.16.4","No","NA","NA","NA","NA","NA","NA"
"192.168.16.5","No","NA","NA","NA","NA","NA","NA"
"192.168.16.6","No","NA","NA","NA","NA","NA","NA"
"192.168.16.7","No","NA","NA","NA","NA","NA","NA"
"192.168.16.8","No","NA","NA","NA","NA","NA","NA"
"192.168.16.9","No","NA","NA","NA","NA","NA","NA"
"192.168.16.10","No","NA","NA","NA","NA","NA","NA"
"192.168.16.11","No","NA","NA","NA","NA","NA","NA"
"192.168.16.12","No","NA","NA","NA","NA","NA","NA"
"192.168.16.13","No","NA","NA","NA","NA","NA","NA"
"192.168.16.14","No","NA","NA","NA","NA","NA","NA"
