show interface description
Interface                      Status         Protocol Description
Et0/0                          up             up       
Et0/1                          up             up       
Et0/2                          up             up       
Et0/3                          up             up       
Et1/0                          up             up       
Et1/1                          up             up       
Et1/2                          up             up       
Et1/3                          up             up       
Et2/0                          up             up       
Et2/1                          up             up       
Et2/2                          up             up       
Et2/3                          up             up       
Vl1                            up             up       
