"device_type","ip","login","collectedoutput"
"cisco_ios","192.168.66.200",False,False
"cisco_ios","192.168.66.201",True,False
"cisco_ios","192.168.66.202",True,False
"cisco_ios","192.168.66.203",True,False
"cisco_ios","192.168.66.204",True,False
"cisco_ios","192.168.66.205",True,False
"cisco_ios","192.168.66.206",True,False
"cisco_ios","192.168.66.207",True,False
"cisco_ios","192.168.66.208",True,False
"cisco_ios","192.168.66.209",True,False
"cisco_ios","192.168.66.210",True,False
"cisco_ios","192.168.66.211",True,False
"cisco_ios_telnet","192.168.66.212",True,True
"cisco_ios_telnet","192.168.66.213",True,True
"cisco_ios_telnet","192.168.66.214",True,True
"cisco_ios_telnet","192.168.66.215",True,True
"cisco_ios_telnet","192.168.66.216",False,False
"cisco_ios_telnet","192.168.66.217",True,True
